Order,TapeID_N1,readDate_N1,arrayCode_N1,ROX,FAM,VIC,n_VIC,n_FAM,96well,384RowIndex,384ColIndex,Q,Sample,n_FAM CALL,CALL,TapeID_N3,readDate_N3,arrayCode_N3,ROX_N3,FAM_N3,VIC_N3,n_VIC_N3,n_FAM_N3,n_FAM CALL_N3,CALL_N3,384well,CONCORD
160,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,3061,2881,7315,2.389741914,0.941195688,,A,11,1,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2913,2829,6814,2.339169241,0.971163749,NEG,NOT DETECTED,A11,TRUE
161,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2950,2861,6973,2.363728814,0.969830508,,B,11,3,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2822,2669,6774,2.40042523,0.945783133,NEG,NOT DETECTED,B11,TRUE
162,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2607,3460,156,0.059838895,1.327196011,,C,11,1,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2957,3891,78,0.026378086,1.31586067,NEG,VOID,C11,TRUE
163,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2954,3542,7461,2.525727827,1.199052133,,D,11,3,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2692,2605,6597,2.450594354,0.967682021,NEG,NOT DETECTED,D11,TRUE
164,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2486,3258,183,0.073612228,1.310539019,,E,11,1,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2557,3380,107,0.041845913,1.321861557,NEG,VOID,E11,TRUE
165,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2307,2265,5700,2.470741222,0.981794538,,F,11,3,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2517,2425,6053,2.40484704,0.96344855,NEG,NOT DETECTED,F11,TRUE
166,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2372,3099,163,0.068718381,1.306492411,,G,11,1,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2646,3398,124,0.04686319,1.28420257,NEG,VOID,G11,TRUE
167,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2644,28282,8676,3.281391831,10.69667171,,H,11,3,POOL00008705,POS,DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2959,33469,9639,3.257519432,11.31091585,POS,DETECTED,H11,TRUE
168,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2892,3668,244,0.084370678,1.268326418,,I,11,1,POOL00008705,NEG,VOID,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2731,3662,164,0.060051263,1.340900769,NEG,VOID,I11,TRUE
169,799304,2021:12:15:12:14:36,00890018002017.00620201110.799304,2912,2742,7469,2.564903846,0.941620879,,J,11,3,POOL00008705,NEG,NOT DETECTED,606442,2021:12:15:20:07:29,00890018002017.00620210114.606442,2908,2794,7232,2.4869326,0.960797799,NEG,NOT DETECTED,J11,TRUE
